74184	1	BCD to binary converter						
74185	1	6-bit binary to BCD converter						
74186	1	512-bit (64x8)  ROM , open collector outputs						
74187	1	1024-bit (256x4)  ROM , open collector outputs						
74188	1	256-bit (32x8)  PROM , open collector outputs						
74189	1	64-bit (16x4) RAM, inverting three-state outputs			F	https://web.archive.org/web/20160304091137/http://ltodi.est.ips.pt/lab-dee-et/datasheets/TTL/74189.pdf		
74190	1	synchronous presettable up/down decade counter			HC/HCT	http://pdf.datasheetcatalog.com/datasheet/philips/74HC190.pdf		
74191	1	synchronous presettable up/down binary counter			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT191_CNV.pdf		
74192	1	synchronous presettable up/down decade counter, clear			HC/HCT	http://www.ti.com/lit/ds/symlink/cd54hc192.pdf		
74193	1	synchronous presettable up/down 4-bit binary counter, clear			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT193.pdf		
74194	1	4-bit bidirectional universal shift register			HC/HCT	http://assets.nexperia.com/documents/data-sheet/74HC194.pdf		
74195	1	4-bit parallel-access shift register			HC	http://www.ti.com.cn/cn/lit/ds/symlink/cd74hc195.pdf		
74196	1	presettable decade counter/latch			LS	http://www.ti.com/lit/ds/symlink/sn74ls196.pdf		
74197	1	presettable binary counter/latch			LS	http://www.ti.com/lit/ds/symlink/sn74ls197.pdf		
74198	1	8-bit bidirectional universal shift register			Standard	http://www.ti.com/lit/ds/symlink/sn74198.pdf		
74199	1	8-bit bidirectional universal shift register, J-Not-K serial inputs			Standard	http://www.ti.com/lit/ds/symlink/sn74199.pdf		
74200	1	256-bit RAM, three-state outputs						
74201	1	256-bit (256x1) RAM, three-state outputs						
74206	1	256-bit RAM, open collector outputs						
74209	1	1024-bit (1024x1) RAM, three-state output						
74210	8	octal buffer						
74219	1	64-bit (16x4) RAM, non-inverting three-state outputs						
74221	2	dual monostable multivibrator, Schmitt trigger input			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT221_CNV.pdf		
74222	1	16 by 4 synchronous  FIFO  memory, three-state outputs						
74224	1	16 by 4 synchronous FIFO memory, three-state outputs						
74225	1	asynchronous 16x5 FIFO memory						
74226	1	4-bit parallel latched bus transceiver, three-state outputs						
74227	1	64-bit FIFO memory 16x4						
74228	1	64-bit FIFO memory 16x4, open-collector outputs						
74229	1	80-bit FIFO memory 16x5, three-state outputs			ALS	http://www.datasheets360.com/pdf/5644091180724131267		
74230	8	octal buffer/driver, three-state outputs, true and complementary inputs						
74231	8	octal buffer and line driver, three-state outputs, G and /G complementary inputs						
74232	4	quad NOR Schmitt trigger						
74233	1	80-bit FIFO memory 16x5, three-state outputs			ALS	http://www.ti.com/lit/gpn/sn74als233b		
74237	1	3-of-8 decoder/demultiplexer, address latch, active high outputs			HC	http://www.nxp.com/documents/data_sheet/74HC237.pdf		
74238	1	3-of-8 decoder/demultiplexer, active high outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT238.pdf		
74239	2	dual 2-of-4 decoder/demultiplexer, active high outputs						
74240	8	octal buffer, inverting three-state outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT240.pdf		
74241	8	octal buffer, non-inverting three-state outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT241_CNV.pdf		
74242	4	quad bus transceiver, inverting three-state outputs						
74243	4	quad bus transceiver, non-inverting three-state outputs			HC	https://web.archive.org/web/20120515213245/http://www.nxp.com/documents/data_sheet/74HC243.pdf		
74244	8	octal buffer, non-inverting three-state outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT244.pdf		
74245	8	octal bus transceiver, non-inverting three-state outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT245.pdf		
74246	1	BCD to 7-segment decoder/driver, 30 V open collector outputs			LS	http://www.ralphselectronics.com/ProductImages/SEMI-SN74247N.PDF		
74247	1	BCD to 7-segment decoder/driver, 15 V open collector outputs			LS	http://www.ralphselectronics.com/ProductImages/SEMI-SN74247N.PDF		
74248	1	BCD to 7-segment decoder/driver, Internal Pull-up outputs			LS	http://www.ralphselectronics.com/ProductImages/SEMI-SN74247N.PDF		
74249	1	BCD to 7-segment decoder/driver, open collector outputs						
74250	1	1 of 16 data selectors/multiplexers						
74251	1	8-line to 1-line data selector/multiplexer, complementary three-state outputs			HC/HCT	https://web.archive.org/web/20120515184624/http://www.nxp.com/documents/data_sheet/74HC_HCT251_CNV.pdf		
74253	2	dual 4-line to 1-line data selector/multiplexer, three-state outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT253.pdf		
74255	2	dual 4-bit addressable latch						
74256	2	dual 4-bit addressable latch						
74257	4	quad 2-line to 1-line data selector/multiplexer, non-inverting three-state outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT257.pdf		
74258	4	quad 2-line to 1-line data selector/multiplexer, inverting three-state outputs			HC	http://www.nxp.com/documents/data_sheet/74HC258.pdf		
74259	1	8-bit addressable latch			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT259.pdf		
74260	2	dual 5-input NOR gate						
74261	1	2-bit by 4-bit parallel binary multiplier						
74264	1	look ahead carry generator						
74265	4	quad complementary output elements						
74266	4	quad 2-input XNOR gate,  open collector  outputs						
74268	6	hex D-type latches three-state outputs, common output control, common enable						
74269	1	8-bit bidirectional binary counter			F	http://www.mouser.com/ds/2/302/74F269-351005.pdf		
74270	1	2048-bit (512x4)  ROM , open collector outputs						
74271	1	2048-bit (256x8)  ROM , open collector outputs						
74273	1	8-bit register, asynchronous clear			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT273.pdf		
74274	1	4-bit by 4-bit binary multiplier						
74275	1	7-bit slice  Wallace tree						
74276	4	quad J-Not-K edge-triggered  flip-flops , separate clocks, common preset and clear						
74278	1	4-bit cascadeable priority registers, latched data inputs						
74279	4	quad set-reset latch						
74280	1	9-bit odd/even  parity bit  generator/checker			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT280_CNV.pdf		
74281	1	4-bit parallel binary accumulator						
74282	1	look-ahead carry generator, selectable carry inputs						
74283	1	4-bit binary  full adder  (has carry in function)			HC	http://media.digikey.com/pdf/Data%20Sheets/NXP%20PDFs/74HC283.pdf		
74284	1	4-bit by 4-bit parallel binary multiplier (low order 4 bits of product)						
74285	1	4-bit by 4-bit parallel binary multiplier (high order 4 bits of product)						
74286	1	9-bit parity generator/checker, bus driver parity I/O port						
74287	1	1024-bit (256x4)  PROM , three-state outputs						
74288	1	256-bit (32x8)  PROM , three-state outputs						
74289	1	64-bit (16x4) RAM, open collector outputs						
74290	1	decade counter (separate divide-by-2 and divide-by-5 sections)						
74291	1	4-bit universal shift register, binary up/down counter, synchronous						
74292	1	programmable frequency divider/digital timer						
74293	1	4-bit binary counter (separate divide-by-2 and divide-by-8 sections)						
74294	1	programmable frequency divider/digital timer						
74295	1	4-bit bidirectional register, three-state outputs						
74297	1	digital  phase-locked loop  filter			HC/HCT	http://www.ti.com/lit/ds/symlink/cd74hct297.pdf		
74298	4	quad 2-input multiplexer, storage						
74299	1	8-bit bidirectional universal shift/storage register, three-state outputs			HC/HCT	https://web.archive.org/web/20120526132442/http://www.nxp.com/documents/data_sheet/74HC_HCT299.pdf		
74301	1	256-bit (256x1)  RAM , open collector output						
74309	1	1024-bit (1024x1)  RAM , open collector output						
74310	8	octal buffer, Schmitt trigger inputs						
74314	1	1024-bit  RAM						
74319	1	64-bit  RAM  (16x4) open collector outputs						
74320	1	crystal-controlled  oscillator						
74321	1	crystal-controlled oscillators, F/2 and F/4 count-down outputs						
74322	1	8-bit shift register, sign extend, three-state outputs						
74323	1	8-bit bidirectional universal shift/storage register, three-state outputs						
74324	1	voltage-controlled oscillator (or crystal controlled)						
74340	8	octal buffer, Schmitt trigger inputs and three-state inverting outputs						
74341	8	octal buffer, Schmitt trigger inputs and three-state non-inverting outputs						
74344	8	octal buffer, Schmitt trigger inputs and three-state non-inverting outputs						
74347	1	BCD-to-7 segment decoders/drivers open collector outputs, low voltage version of 7447						
74348	1	8 to 3-line priority encoder, three-state outputs						
74350	1	4-bit shifter, three-state outputs						
74351	2	dual 8-line to 1-line data selectors/multiplexers, three-state outputs and 4 common data inputs						
74352	2	dual 4-line to 1-line data selectors/multiplexers, inverting outputs						
74353	2	dual 4-line to 1-line data selectors/multiplexers, inverting three-state outputs						
74354	1	8 to 1-line data selector/multiplexer, transparent latch, three-state outputs			HC/HCT	http://www.ti.com/lit/gpn/cd74hct354		
74355	1	8-line to 1-line data selector/multiplexer, transparent registers, open-collector outputs						
74356	1	8 to 1-line data selector/multiplexer, edge-triggered register, three-state outputs			HCT	http://www.ti.com/lit/gpn/cd74hct356		
74357	1	8-line to 1-line data selectors/multiplexers/edge-triggered registers, open-collector outputs						
74361	1	bubble memory  function timing generator						
74362	1	four-phase clock  generator/driver						
74363	8	octal three-state D-latches						
74364	8	8-bit D-type edge-triggered register, three-state outputs						
74365	6	hex buffer, non-inverting three-state outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT365.pdf		
74366	6	hex buffer, inverting three-state outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT366.pdf		
74367	6	hex buffer, non-inverting three-state outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT367_CNV.pdf		
74368	6	hex buffer, inverting three-state outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT368_CNV.pdf		
74370	1	2048-bit (512x4)  ROM , three-state outputs						
74371	1	2048-bit (256x8)  ROM , three-state outputs						
74373	8	octal transparent latch, three-state outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT373.pdf		
74374	8	octal register, three-state outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT374_CNV.pdf		
74375	4	quad bistable latch						
74376	4	quad J-Not-K flip-flop, common clock and common clear						
74377	1	8-bit register, clock enable			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT377.pdf		
74378	1	6-bit register, clock enable			LS	http://www.ti.com/lit/gpn/sn74ls378		
74379	1	4-bit register, clock enable and complementary outputs						
74380	1	8-bit multifunction register						
74381	1	4-bit arithmetic logic unit/function generator, generate and propagate outputs						
74382	1	4-bit arithmetic logic unit/function generator, ripple carry and overflow outputs						
74384	1	8-bit by 1-bit two's complement multipliers						
74385	4	quad 4-bit adder/subtractor						
74386	4	quad 2-input  XOR gate						
74387	1	1024-bit (256x4)  PROM , open collector outputs						
74388	1	4-bit register, standard and three-state outputs						
74390	2	dual 4-bit decade counter			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT390_CNV.pdf		
74393	2	dual 4-bit binary counter			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT393.pdf		
74395	1	4-bit universal shift register, three-state outputs						
74396	8	octal storage registers, parallel access						
74398	4	quad 2-input multiplexers, storage and complementary outputs						
74399	4	quad 2-input multiplexer, storage						
74405	1	1 to 8 decoder, equivalent to Intel 8205, only found as UCY74S405 so might be non-TI number						
74408	1	8-bit  parity  tree						
74412	1	multi-mode buffered 8-bit latches, three-state outputs and clear						
74422	1	re-triggerable mono-stable multivibrators, two inputs						
74423	2	dual retriggerable monostable multivibrator			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT423.pdf		
74424	1	two-phase clock  generator/driver						
74425	4	quad bus buffers, three-state outputs and active low enables						
74426	4	quad bus buffers, three-state outputs and active high enables						
74428	1	system controller for 8080a						
74436	1	line driver/memory driver circuits - mos memory interface, damping output resistor						
74437	1	line driver/memory driver circuits - mos memory interface						
74438	1	system controller for 8080a						
74440	4	quad tridirectional bus transceiver, non-inverting open collector outputs						
74441	4	quad tridirectional bus transceiver, inverting open collector outputs						
74442	4	quad tridirectional bus transceiver, non-inverting three-state outputs						
74443	4	quad tridirectional bus transceiver, inverting three-state outputs						
74444	4	quad tridirectional bus transceiver, invertin and non-inverting three-state outputs						
74445	1	BCD-to-decimal decoders/drivers						
74446	4	quad bus transceivers, direction controls						
74447	1	BCD-to-7-segment decoders/drivers, low voltage version of 74247						
74448	4	quad tridirectional bus transceiver, inverting and non-inverting open collector outputs						
74449	4	quad bus transceivers, direction controls, true outputs						
74450	1	16-to-1 multiplexer, complementary outputs						
74451	2	dual 8-to-1 multiplexer						
74452	2	dual decade counter, synchronous						
74453	2	dual binary counter, synchronous						
74453	4	quad 4-to-1 multiplexer						
74454	2	dual decade up/down counter, synchronous, preset input						
74455	2	dual binary up/down counter, synchronous, preset input						
74456	1	NBCD (Natural binary coded decimal) adder						
74460	1	bus transfer switch						
74461	1	8-bit presettable binary counter, three-state outputs						
74462	1	fiber-optic link transmitter						
74463	1	fiber-optic link receiver						
74465	8	octal buffer, three-state true outputs						
74466	8	octal buffers, three-state inverting puts						
74467	8	octal buffers, three-state true outputs						
74468	8	octal buffers, three-state inverting outputs						
74469	1	8-bit synchronous up/down counter, parallel load and hold capability						
74470	1	2048-bit (256x8)  PROM , open collector outputs						
74471	1	2048-bit (256x8)  PROM , three-state outputs						
74472	1	PROM , open collector outputs						
74473	1	PROM , three-state outputs						
74474	1	PROM , open collector outputs						
74475	1	PROM , three-state outputs						
74481	1	4-bit  slice cascadable processor  elements						
74482	1	4-bit  slice  expandable control elements						
74484	1	BCD-to-binary converter						
74485	1	binary-to-BCD converter						
74490	2	dual decade counter						
74491	1	10-bit binary up/down counter, limited preset and three-state outputs						
74498	1	8-bit bidirectional shift register, parallel inputs and three-state outputs						
74508	1	8-bit multiplier/divider						
74518	1	8-bit comparator, open collector output, input pull-up resistor						
74519	1	8-bit comparator, open collector output						
74520	1	8-bit comparator, inverting totem-pole output, input pull-up resistor						
74521	1	8-bit comparator, inverting totem-pole output						
74522	1	8-bit comparator, inverting open-collector output, input pull-up resistor						
